,Streamer,Followers,Min_views,Max_views,Avg_views,Other_games,Description,translated_texts,language
36,lenagol0vach,447538,4765.0,14975.0,9445.0,0,В чем сила брат?,"what is the strength in, brother?",ru
37,pgl_dota2,414160,3074.0,62574.0,19765.0,0,PGL loves DOTA 2.,pgl loves dota 2.,en
45,icebergdoto,369487,1404.0,4938.0,2801.0,0,По вопросам сотрудничества пишите на почту - icebergbus@gmail.com,"for cooperation, write to the mail - icebergbus@gmail.com",ru
46,justcooman,355594,1037.0,16753.0,6198.0,0,,na,1
49,elgato_,332176,412.0,412.0,412.0,0,JOGUE COM RESPONSABILIDADE! NAO APOSTE O QUE VAI TE FAZER FALTA TENHA MAIS DE 18 PRA APOSTAR. rodrigof.contato@gmail.com ,play responsibly!do not bet on what will be missing you have more than 18 to bet.rodrigof.contato@gmail.com,pt
50,ramzes,327706,3808.0,14028.0,8071.0,0,Professional dota 2 player. https://ramzes.gg/ . Business inquires - ramzes@streamers-alliance.com. Ambassador FONBET. My main chat https://t.me/Ramzesasd.,professional dota 2 player. https://ramzes.gg/ . business inquires - ramzes@streamers-alliance.com. ambassador fonbet. my main chat https://t.me/ramzesasd.,en
52,nooneboss,317252,1051.0,6007.0,3719.0,0,Nice guy.,nice guy.,en
53,eternalenvyy,291995,425.0,2734.0,1517.0,0,I am Jacky Mao business contact: 911mjacky@gmail.com,i am jacky mao business contact: 911mjacky@gmail.com,en
55,betboom_ru,276830,2103.0,39792.0,15870.0,0,С 12 марта по 25 апреля студия FISSURE совместно с BetBoom осветят для вас второй тур DPC 2023! Смотрите лучшие матчи сильнейших регионов в Dota 2 на каналах betboom_ru и подписывайтесь на социальные сети FISSURE!,"from march 12 to april 25, fissure studio, together with betboom, will lighten the second round of dpc 2023 for you!see the best matches of the strongest regions in dota 2 on betboom_ru channels and subscribe to fissure social networks!",ru
56,beyondthesummit2,275702,1648.0,1648.0,1648.0,0,"Beyond The Summit is a broadcasting studio and tournament organizer for a variety of esports titles (including Dota 2, SSBM, Overwatch, and CS:GO). Following and subscribing enables us to continue to create unique content and host amazing events like The Summit. Thank you for your support!","beyond the summit is a broadcasting studio and tournament organizer for a variety of esports titles (including dota 2, ssbm, overwatch, and cs:go). following and subscribing enables us to continue to create unique content and host amazing events like the summit. thank you for your support!",en
58,daxak,265616,5310.0,5310.0,5310.0,0,,na,1
59,iceiceice,259575,402.0,2627.0,1073.0,1,I play dota2 email: email:dkpxbruh@gmail.com                                                                                                                                                                                                                                                            ,i play dota2 email: email:dkpxbruh@gmail.com,en
60,illidanstr,259269,882.0,882.0,882.0,0,https://liquipedia.net/dota2/Illidan . currently just streaming.,https://liquipedia.net/dota2/illidan . currently just streaming.,en
61,sumayyl,258849,4678.0,5288.0,4983.0,0,On a journey to become a Legend.,on a journey to become a legend.,en
62,bananaslamjamma,253361,551.0,2771.0,1393.0,1,I am a Dota 2 streamer who plays a lot of high MMR solo queue matchmaking games. I also coach and try to educate viewers on how to improve their Dota skills.,i am a dota 2 streamer who plays a lot of high mmr solo queue matchmaking games. i also coach and try to educate viewers on how to improve their dota skills.,en
66,dossierchannel,242370,373.0,3482.0,1432.0,1,"Intro , Review Game and Caster DotA 2 Tournament","intro , review game and caster dota 2 tournament",en
68,purgegamers,237559,428.0,5556.0,1885.0,1,"I'm Purge, I focus on Dota 2 gameplay commentaries. If you're new to Dota, check out my Learn Dota video series, or my vods.","i'm purge, i focus on dota 2 gameplay commentaries. if you're new to dota, check out my learn dota video series, or my vods.",en
69,btsbrasiltv,235844,378.0,5088.0,1179.0,0,"Somos a BTSBrasilTV, streamers de Dota 2 desde 2013 e maior produtora de conteudo independente de Dota 2, ativo por aqui desde 2017. Cobrimos e narramos esports, e este é nosso canal especializado em partidas de Dota 2.","we are btsbrasiltv, dota 2 streamers since 2013 and the largest independent content producer of dota 2, active here since 2017. we cover and narrate esports, and this is our channel specializing in dota 2 matches.",pt
70,cr1tdota,235135,1207.0,4399.0,2542.0,0,,na,1
71,qsnake,229811,489.0,1134.0,747.0,0,https://t.me/qsnakeee,na,1
73,tidesoftime,221199,392.0,794.0,565.0,0,"Used to be pro at dota and hs. Have reached rank 1-3 in region or world in various card games / auto battlers. Won / top3d plenty of tournaments in dota/hs. I'm good at most games i play, best generic advice i can give to you to improve if you so desire is to not blame losses on teamates/luck etc.","used to be pro at dota and hs. have reached rank 1-3 in region or world in various card games / auto battlers. won / top3d plenty of tournaments in dota/hs. i'm good at most games i play, best generic advice i can give to you to improve if you so desire is to not blame losses on teamates/luck etc.",en
74,qojqva,216710,967.0,7546.0,4299.0,0,DOTA 2 player for Team Liquid,dota 2 player for team liquid,en
79,xakoh,197110,360.0,1477.0,678.0,1,"DOTA2  -  offlane(hard lane). 8,5k+ player. !Инфа  (͡ ͡° ͜ つ ͡͡°)",dota2 - offlane (hard lane).8.5k+ player.! infa (͡ ° ͜ つ °),ru
82,dyrachyo,186208,2661.0,21776.0,10794.0,0,real dyrachyooo !!!Реклама и сотрудничество: youngb1lboboysclub@gmail.com,real dyrachyooo !!! advertising and cooperation: youngb1lboboysclub@gmail.com,ru
83,y0nd,182708,248.0,731.0,519.0,0,yond@streamers-alliance.com - по рекламе сюда,yond@streamers-alliance.com - by advertising here,ru
84,attackerdota,181400,501.0,1443.0,769.0,0,Dota 2 streamer from Dubai for team Nigma Galaxy.  For business inquiries: attackerdotabiz@gmail.com,dota 2 streamer from dubai for team nigma galaxy.  for business inquiries: attackerdotabiz@gmail.com,en
88,esl_dota2storm,174048,6266.0,6415.0,6340.0,0,"The ESL One Berlin Major is here! 18 teams fighting for a $500,000 USD prize pool, 2700 DPC points, and the chance to qualify for The International! Join us for some incredible Dota at the first Major event entirely on the new 7.33 patch!","the esl one berlin major is here! 18 teams fighting for a $500,000 usd prize pool, 2700 dpc points, and the chance to qualify for the international! join us for some incredible dota at the first major event entirely on the new 7.33 patch!",en
90,pgl_dota2en2,173519,1395.0,19887.0,8217.0,0,PGL loves DOTA 2.,pgl loves dota 2.,en
91,inboss1k,172723,714.0,2296.0,1550.0,0,Most Dangerous FP Invoker,most dangerous fp invoker,en
92,canceldota,170239,7.0,969.0,488.0,0,,na,1
93,xcaliburye,164782,0.0,1993.0,908.0,0,contact me at : ask.xcaliburye@gmail.com,contact me at : ask.xcaliburye@gmail.com,en
94,quinndota,162771,1622.0,4555.0,2889.0,0,,na,1
95,iltw1,160500,1014.0,5387.0,2524.0,0,,na,1
98,odpixel,147395,23.0,1540.0,713.0,0,| Twitter.com/ODPixel | OD@PixelPipeline.co.uk | Youtube: https://bit.ly/3BhCo0w |,| twitter.com/odpixel | od@pixelpipeline.co.uk | youtube: https://bit.ly/3bhco0w |,en
99,epulzegaming,143804,547.0,80860.0,15199.0,0,Follow your favorite teams across our pro-divisions and immerse yourself in the latest livestream productions.,follow your favorite teams across our pro-divisions and immerse yourself in the latest livestream productions.,en
100,dotatv247,142732,328.0,752.0,519.0,0,Witness best ranked Dota 2 games live 24/7. The stream is fully automated and controlled by chat commands. Check stream description for more info.,witness best ranked dota 2 games live 24/7. the stream is fully automated and controlled by chat commands. check stream description for more info.,en
101,khezu,142682,261.0,261.0,261.0,0,"Dota 2 Player, coach and analyst. Coaching @ https://metafy.gg/@khezu/sessions","dota 2 player, coach and analyst. coaching @ https://metafy.gg/@khezu/sessions",en
102,skad1boy,136749,2107.0,4598.0,3352.0,0,Сотрудничество -  skad1boy@adisom.net,cooperation - skad1boy@adisom.net,ru
103,stariy_bog,134066,930.0,2362.0,1536.0,0,,na,1
105,ephey,124535,1002.0,3166.0,1973.0,0,"Hi, I'm Mira. :) ","hi, i'm mira. :)",en
106,draskyl,123587,179.0,179.0,179.0,0,Washed Dota 2 player/commentator doing what he wants for fun,washed dota 2 player/commentator doing what he wants for fun,en
109,awfdota,117994,510.0,1515.0,914.0,0,"Всегда легко обидеть мать. Она обиду не заметит. И только может вам сказать — «Не простудись, сегодня ветер»","it is always easy to offend the mother.she will not notice the insult.and only you can tell you - ""do not catch a cold, today the wind""",ru
110,gspotdota,115682,403.0,521.0,448.0,0,"Старой закалки дотер,большая часть игр происходит на 4 позиции.Стример весьма специфичен что может вызвать вопросы при первом знакомстве :D","old hardening doters, most of the games take place in 4 positions. the stroke is very specific that it can cause questions at the first acquaintance: d",ru
111,gunnardota2,114544,480.0,3542.0,1563.0,3,Professional dota player,professional dota player,en
113,23savagezzz,109385,755.0,2737.0,1844.0,0,I'm a DotA 2 player for Talon Esports,i'm a dota 2 player for talon esports,en
114,dota2ez25,108819,539.0,1340.0,965.0,0,"Ютубер, стример и просто игрок в доту :)","youtubert, streamer and just a player in dota :)",ru
115,timado,107514,966.0,2122.0,1414.0,0,21,21,en
116,lightfurylf,106380,145.0,6912.0,2597.0,0,นักพากย์ Dota2? ช่องหลักภาษาไทยแห่งหลังเขา ขอต้อนรับไม่ว่าคุณจะเป็นใคร เข้ามาที่นี่ทุกคนคือลูกเรือ ตายไปพร้อมกับเรือ หรือจะเลือกเป็นลูกบ้านก็ได้นะ,"dota2 voice actors?thai main channels behind himwelcome, no matter who you arecome here, everyone is the crew.died with a boator can choose to be a residents",th
118,pgl_dota2en3,106120,3446.0,7914.0,5492.0,0,,na,1
120,dubudota,104680,2296.0,2296.0,2296.0,0,Professional Dota 2 Player,professional dota 2 player,en
121,abfnggshka,104114,649.0,2920.0,1597.0,0,,na,1
124,paragon_dota,99523,206.0,53511.0,15159.0,0,Смотри матчи ESL One Berlin Major вместе с Paragon Events и Winline!,watch esl one berlin major matches with paragon events and winline!,ru
125,monkeys_forever,99209,438.0,2378.0,1286.0,0,Offlane player here,offlane player here,en
126,febbydoto,99194,279.0,279.0,279.0,0,cool streamer,cool streamer,en
128,amirphanthom,96211,298.0,712.0,479.0,0,"Ph Streams DotA 2, For Business Inquiries : amirphanthom@yahoo.com","ph streams dota 2, for business inquiries : amirphanthom@yahoo.com",en
129,baxadoto,95825,668.0,2462.0,1535.0,0,"В здании человеческого счастья любовь возводит стены, а стримы Бахи образуют купол. Реклама и сотрудничество: b4x4zxc@gmail.com","in the building of human happiness, love builds the walls, and the streams of the bah form a dome.advertising and cooperation: b4x4zxc@gmail.com",ru
130,betboom_ru2,94701,260.0,23706.0,5173.0,0,С 12 марта по 25 апреля студия FISSURE совместно с BetBoom осветят для вас второй тур DPC 2023! Смотрите лучшие матчи сильнейших регионов в Dota 2 на каналах betboom_ru и подписывайтесь на социальные сети FISSURE!,"from march 12 to april 25, fissure studio, together with betboom, will lighten the second round of dpc 2023 for you!see the best matches of the strongest regions in dota 2 on betboom_ru channels and subscribe to fissure social networks!",ru
131,meepoha3ap,92609,91.0,460.0,243.0,0,Меня зовут Алексей или на просторах twitch просто Дед.Основные игры проходят на герой Meepo +11к игр но есть и исключения. 29к игр в Dota 2,"my name is alexei or in the open spaces of twitch, just grandfather. the main games are held on the hero of meepo +11k games, but there are exceptions.29k games in dota 2",ru
132,nikobaby_,92229,409.0,1465.0,883.0,0,Professional DotA 2 Player ,professional dota 2 player,en
133,mary_day,86193,702.0,1276.0,913.0,0,"Nikita. 7k + invoker matches/8k pts, top 1 voker opendota. ник ничего не означает/не переводится. просто 2 рандомных слова = ) сотрудничество - vk.com/suwestvyu","nikita.7k + invoker matches/8k pts, top 1 voker opendota.nick does not mean/not translated.just 2 random words =) cooperation - vk.com/suwestvyu",ru
134,fanhots,85508,141.0,632.0,463.0,1,"UC Berkeley, Former Hots Pro forCloud 9, Naventic, GFE, Tempo Storm. Blizzcon/Dreamhack/Dorm Champion. Grandmaster in SC2 with Terran & Protoss.Former Top 200 in Dota & Dota 24x Legend in Hearthstone Business Contact: fanyang005@gmail.com","uc berkeley, former hots pro forcloud 9, naventic, gfe, tempo storm. blizzcon/dreamhack/dorm champion. grandmaster in sc2 with terran & protoss.former top 200 in dota & dota 24x legend in hearthstone business contact: fanyang005@gmail.com",en
135,seucreysonreborn,83489,567.0,990.0,767.0,0,"maior coach de Dota 2 das Américas em atividade, meu coach está avaliado em mais de 10 mil; Jogo Dota há mais de 15 anos, sou Tricampeão goiano, fundador da Loucademia dus 4K,  e  da South América League. ","largest dota 2 coach in the americas in activity, my coach is evaluated in over 10,000;game dota for over 15 years, i am a three -time goiano, founder of the dus 4k crazy, and south america league.",pt
136,kuyanicwxc,82001,384.0,3158.0,1115.0,0,KuyaNic is the official Dota2 broadcast platform by LuponWXC.,kuyanic is the official dota2 broadcast platform by luponwxc.,en
138,watsondoto,81010,1406.0,4450.0,3146.0,0,tryhard pos1,tryhard pos1,en
139,420jenkins,79167,824.0,2512.0,1474.0,0,"Offlane Player, Sex Haver","offlane player, sex haver",en
140,radika1fa,78865,301.0,1723.0,1298.0,0,,na,1
141,speedmanq,77194,463.0,2003.0,1074.0,0,,na,1
142,k13tv,77061,647.0,1117.0,889.0,0,"Salve!! aqui você encontra entretenimento aliado a uma boa gameplay, narrações e análises. Lives 07H30 da manhã de seg a sexta, sinta-se sempre à vontade para tirar suas dúvidas e interagir! CONTACT: k13doto@gmail.com","save!!here you find entertainment combined with a good gameplay, narrations and analysis.lives 07h30 in the morning from mon to friday, always feel free to answer your doubts and interact!contact: k13doto@gmail.com",pt
143,esl_dota2earth,74950,14167.0,20204.0,17256.0,0,"The ESL One Berlin Major is here! 18 teams fighting for a $500,000 USD prize pool, 2700 DPC points, and the chance to qualify for The International! Join us for some incredible Dota at the first Major event entirely on the new 7.33 patch!","the esl one berlin major is here! 18 teams fighting for a $500,000 usd prize pool, 2700 dpc points, and the chance to qualify for the international! join us for some incredible dota at the first major event entirely on the new 7.33 patch!",en
144,lukiluki,74878,503.0,503.0,503.0,0,Rank 30 NA Dota 2 pubs. Live most days. Picking pango if it's not banned PepeHands,rank 30 na dota 2 pubs. live most days. picking pango if it's not banned pepehands,en
145,capcasts,74600,277.0,662.0,484.0,0,I'm a POWERFUL and ESTABLISHED caster who will crush you,i'm a powerful and established caster who will crush you,en
146,yapzordota,74474,613.0,3986.0,1945.0,0,dota,dota,en
147,serejaperviy,73944,216.0,216.0,216.0,0,Предложения сотрудничества: serejatwitch@gmail.com,cooperation offers: serejatwitch@gmail.com,ru
149,betboom_ru3,65634,888.0,6892.0,2411.0,0,C 12 Марта по 25 Апреля студия FISSURE совместно с BetBoom осветит для вас второй тур турнира Dota Pro Circuit 2023 года. Следи за турниром на каналах betboom_ru и подписывайся на наши социальные сети FISSURE!,"from march 12 to april 25, fissure studio, together with betboom, will illuminate for you the second tournament of dota pro circuit 2023.follow the tournament on the betboom_ru channels and subscribe to our social networks fissure!",ru
150,moonstudio_en,62994,314.0,5576.0,2072.0,0,We are a Casting Games Studio casting in different languages.,we are a casting games studio casting in different languages.,en
151,dota2mc_ua,62144,231.0,8754.0,2217.0,0,"Maincast — українська кіберспортивна компанія, яка є #1 у Східній Європі. Офіційний бродкастер головних турнірів від Valve та ESL. Тут ти побачиш кіберспорт, який виходить за рамки звичайних трансляцій.",maincast is a ukrainian cyber -sports company that is #1 in eastern europe.official brodcaster of the main tournaments from valve and esl.here you will see a cybersport that goes beyond the usual broadcasts.,uk
152,snessh,61568,420.0,980.0,651.0,0,Стримы каждый день в 4:30 +- пол часа старт и до 12-13,streams every day at 4:30 +- half an hour start and up to 12-13,ru
155,4desports,59792,1188.0,28734.0,10677.0,0,"Bienvenido a la cobertura oficial en español de la ESL ONE BERLIN MAJOR!  los mejores equipos en el mundo compiten por el sueño de llegar al siguiente THE INTERNATIONAL con un gran pozo de $500,000 USD, disfrutemos del mejor Dota competitivo desde el 26 de Abril al 7 de Mayo!","welcome to the official coverage in spanish of esl one berlin major!the best teams in the world compete for the dream of reaching the next the international with a large well of $ 500,000 usd, let's enjoy the best competitive endow from april 26 to may 7!",es
156,henry,59419,347.0,727.0,499.0,0,,na,1
157,saberlight00,56853,1045.0,2954.0,1656.0,0,BEST UPCOMING DOTA 2 PLAYXER/ VERY FUNNY GUY,best upcoming dota 2 player/ very funny guy,en
158,mapkezy,56349,377.0,844.0,649.0,0,,na,1
159,followjotm,54949,584.0,1418.0,941.0,0,"Dota 2 ex-proplayer, coach, panelist, caster.","dota 2 ex-proplayer, coach, panelist, caster.",en
160,dubas_the_slayer,52347,63.0,63.0,63.0,0,Стримы 24/7 dota2/poker https://t.me/dubasyatina follow me &lt;3 ,стримы 24/7 dota2/poker https://t.me/dubasyatina follow me &lt;3,en
161,jabzdota2,52216,965.0,1636.0,1283.0,0,hello ,hello,en
162,betboom_ru4,51674,635.0,14538.0,4308.0,0,С 12 марта по 25 апреля студия FISSURE совместно с BetBoom осветят для вас второй тур DPC 2023! Смотрите лучшие матчи сильнейших регионов в Dota 2 на каналах betboom_ru и подписывайтесь на социальные сети FISSURE!,"from march 12 to april 25, fissure studio, together with betboom, will lighten the second round of dpc 2023 for you!see the best matches of the strongest regions in dota 2 on betboom_ru channels and subscribe to fissure social networks!",ru
163,valyusha,50413,457.0,3254.0,1103.0,0, ,na,1
165,pro_cast2,46674,186.0,333.0,259.0,1,Люблю Доту и девочек.,i love dota and girls.,ru
166,quiizzzmeow,46182,466.0,505.0,485.0,0,rapper/clown/,rapper/clown/,en
167,esb_dota2,46042,792.0,8202.0,2183.0,0,"Somos un studio de broadcasting y producción de esports. ¡Este es nuestro canal especializado en Dota 2 y stream oficial del DPC SA, WEU, NA y EEU en español para todo el mundo este 2023!","we are a broadcasting studio and esports production.this is our channel specialized in dota 2 and official stream of the dpc sa, weu, na and the us in spanish for everyone this 2023!",es
168,ravshanbtw,45408,407.0,2170.0,1398.0,3,Супер толерантный стример! Здесь я играю исключительно в доту для своих! Основной канал RavshanN,super tolerant streamer!here i play exclusively in dota for my own!the main channel ravshann,ru
169,bogush,45372,431.0,664.0,550.0,0,,na,1
170,sneykingdota,45111,728.0,1065.0,955.0,0,,na,1
172,aedrons,42663,222.0,222.0,222.0,0,Narrador que narra feliz para te deixar feliz e muitas pessoas felizes vão compartilhar sua felicidades em uma transmissão da felicidade. Venha ser feliz também.,narrator who narrates happy to make you happy and many happy people will share your happiness in a transmission of happiness.come be happy too.,pt
173,techiessenior,41756,424.0,674.0,553.0,0,Juego dota por diversion 💣Partner de @NitradoEs,game gives for fun 💣partner of @nitrades,es
174,meowsonic,41617,445.0,800.0,622.0,0,,na,1
175,abolfazl_shabdol,41590,256.0,342.0,299.0,0,It's zeRo with +18 streams,it's zero with +18 streams,en
176,bracubi,41149,102.0,102.0,102.0,0,Live todos os dias em horários aleatórios.,live every day at random times.,pt
178,rayuur,40982,77.0,378.0,268.0,1,"Fala meu bom!, sou o Gabriel, mais conhecido como Rayuur. Aqui terá gameplay duvidosa, e as vezes de qualidade. Música boa, conteúdo educacional sobre Dota, e assuntos sobre a vida, eu já disse música boa? 23 anos 8K+ MMR.","speak my good! i'm gabriel, better known as rayuur.here will have dubious gameplay, and sometimes quality.good music, educational content about dota, and subjects about life, have you said good music?23 years 8k+ mmr.",pt
179,betboom_ru5,40503,1012.0,10865.0,3861.0,0,С 12 марта по 4 апреля студия FISSURE совместно с BetBoom осветят для вас второй тур DPC 2023! Смотрите лучшие матчи сильнейших регионов в Dota 2 на каналах betboom_ru и подписывайтесь на социальные сети FISSURE!,"from march 12 to april 4, fissure studio, together with betboom, will lighten the second round of dpc 2023 for you!see the best matches of the strongest regions in dota 2 on betboom_ru channels and subscribe to fissure social networks!",ru
181,sttasha,39595,154.0,154.0,154.0,0,Топовый стример из города Екатеринбург.,top streamer from the city of yekaterinburg.,ru
182,kusaka6e,39321,789.0,789.0,789.0,0,гадость,muck,ru
183,fumimochi,38231,28.0,28.0,28.0,0,escape from kitchen,escape from kitchen,en
184,sunsfantv,36814,649.0,932.0,790.0,0,,na,1
185,holly_brother,36503,2851.0,3123.0,2987.0,0,"работаем не покладая рук, готовимся сесть на мейн ","we work without turning hands, preparing to sit on maine",ru
186,toeiii,36322,463.0,1409.0,738.0,0,,na,1
187,1cen1ce116,36029,71.0,1436.0,910.0,1,"Esports caster по Dota 2 & CS:GO // Даниил, 25, г. Казань. Комментирую с 2015 г. киберспортивные дисциплины и не только // ESL Challenger League & ESEA partner // Can send your offer here - halikov98@list.ru; Социалки 1ceN1ce – https://linktr.ee/1cen1ce","esports caster dota 2 & cs: go // daniil, 25, kazan.since 2015, i have been commenting on e -sports disciplines and not only // esl challenger league & esea partner // can send your offer here - halikov98@list.ru;socials 1cen1ce - https://linktr.ee/1cen1ce",ru
188,dota2mc4,35008,7230.0,7267.0,7248.0,0,,na,1
189,mouradota,34013,551.0,551.0,551.0,0,"Salve rapaziada sejam todos muito bem vindos, aqui você encontra gameplay + entretenimento ALTO NÍVEL, faço lives de segunda a sexta a partir das 13:00 ~ 14:00 até as 22:00 ~ 23-00.  ((partnerships/sponsors: brunomouradias@hotmail.com)).","save guys are all welcome, here you will find gameplay + high level entertainment, i do beautiful from monday to friday from 13:00 ~ 14:00 until 22:00 ~ 23-00.((partnerships/sponsors: brunomouradias@hotmail.com)).",pt
190,epulzeen2,33846,429.0,39270.0,12105.0,0,,na,1
191,epulzeen3,33142,380.0,21122.0,6673.0,0,,na,1
193,imperiusgg,31858,457.0,777.0,617.0,0,Comentarista profesional de esports -  Host de eventos - Streamer🎮🎮🎮,professional esports commentator - event host - streamer🎮🎮🎮,pt
194,paragon_eng,31719,417.0,21187.0,7008.0,0,Watch EEU DPC 2023 Spring tour! Use !egb to get bonus up to 600$ for new users,watch eeu dpc 2023 spring tour! use !egb to get bonus up to 600$ for new users,en
195,kavvaiiha,31497,37.0,37.0,37.0,0,"Привет! Меня зовут Катюша.. люблю все вкусное и милое. стримлю почти каждый день! Если тебе тут понравится, то жми фоллоу и оставайся с нами ;3   🍂❄️🌸🌞 ❤ для связи со мной пишите в лс группы вк ❤ - https://vk.com/kavvaiiha669 ❤ или на почту ❤ - kavvaiiha669@gmail.com 🍂❄️🌸🌞","hello!my name is katyusha .. i love everything tasty and cute.i stream almost every day!if you like it here, then click follow and stay with us; 3 🍂❄️🌸🌞 ❤ write in the hp group vk ❤ - https://vk.com/kavvaiha669 ❤ or by mail ❤ - kavvaiha669@gmail.com🍂❄️🌸🌞",ru
196,cursedcoach,31137,23.0,23.0,23.0,0,dead inside 18 y o ,dead inside 18 y o,en
197,ketlin_meow,30898,76.0,76.0,76.0,0,"Задрот с 5лет, росла с ps1 в лапках. Ветеран PW. Стримлю c 2016, ноунейм и андеграунд. На стриме играем в доту, эксклюзивки на ps и nintendo, рпг, стратегии, смотрим фильмы и трешовые шоу.","harry with 5 years, grew with ps1 in paws.veteran pw.stream c 2016, novenim and underground.on stream, we play dota, exclusives on ps and nintendo, rpg, strategies, watch films and tresh shows.",ru
199,epulzeen4,30314,311.0,31505.0,11215.0,0,,na,1
200,icemo21,30108,242.0,242.0,242.0,0,Для сотрудничества пишите @icemo21 или @fante_0 в телегламм,"for cooperation, write @icemo21 or @fante_0 in television chances",ru
201,epulzeen,29818,386.0,21107.0,10459.0,0,Follow your favorite teams across our pro-divisions and immerse yourself in the latest livestream productions.,follow your favorite teams across our pro-divisions and immerse yourself in the latest livestream productions.,en
202,laymelayme,29448,328.0,485.0,432.0,0,  ,na,1
203,sophy,28479,422.0,742.0,582.0,0,human golden retriever. i like gaming and making sound effects ʕง•ᴥ•ʔง,human golden retriever. i like gaming and making sound effects ʕง•ᴥ•ʔง,en
204,euproleague_ru,28272,278.0,7587.0,2438.0,0,Welcome to the European Pro League! По вопросам сотрудничества и другим вопросам - europeanprofleague@gmail.com,welcome to the european pro league!for cooperation and other issues - europeanprofleague@gmail.com,ru
205,malr1ne_dota,28121,439.0,1253.0,930.0,0,я Стасян,i'm stasyan,uk
