,Streamer,Followers,Min_views,Max_views,Avg_views,Other_games,Description,translated_texts,language
35,sp4zie,540781,488.0,1333.0,788.0,3.0,Started my career playing only League of Legends and making videos! Nowadays you'll find me streaming almost anything! Sometimes LIVE on weekend as well even tho it's not in the schedule! Feel free to greet the friendlies in chat :),started my career playing only league of legends and making videos! nowadays you'll find me streaming almost anything! sometimes live on weekend as well even tho it's not in the schedule! feel free to greet the friendlies in chat :),en
36,meteos,510121,863.0,3054.0,1557.0,0.0,"Hi I'm Meteos, I stream league of legends every day except wednesday/thursday","hi i'm meteos, i stream league of legends every day except wednesday/thursday",en
37,wildturtle,509796,1103.0,1323.0,1208.0,0.0,League of Legends player o.o,league of legends player o.o,en
38,tellier50,507533,72.0,670.0,371.0,1.0,"Me llamo Robertson, tengo 72 años y soy jubilado. Juego League of Legends desde el 2016, empecé jugando en Top con Garen, luego me fui a la jungla con Warwick y  actualmente con Udyr. Soy de Peñarol  y simpatizo con Boca . Empecé a hacer streams el 15 de agosto del 2020","my name is robertson, i'm 72 years old and i'm retired.league of legends game since 2016, i started playing in top with garen, then i went to the jungle with warwick and currently with udyr.i am from peñarol and sympathy with mouth.i started to do streams on august 15, 2020",es
39,fierik,504966,816.0,1152.0,981.0,0.0,Un canale au/rtistico,a channel au/rtistico,ro
40,wingsofdeath,465722,508.0,1440.0,950.0,3.0,Former professional League of Legends player now washed up (it means clean) ready to show you how to game like a pro :),former professional league of legends player now washed up (it means clean) ready to show you how to game like a pro :),en
41,naru,464946,1227.0,3738.0,2203.0,0.0,7 yıl espor. Şimdilerde yayıncı. ,7 years espor.now the publisher.,tr
42,relaxing234,455447,1668.0,6862.0,4191.0,1.0,League of legends,league of legends,en
43,broxah,451264,825.0,8551.0,4993.0,0.0,"Welcome to the stream! I'm Mads, also known as Broxah, a 25-year-old gamer from Denmark. I'm a professional League of Legends player, always aiming to bring you positive vibes and great experiences here on the stream! -- Business inquiries: broxah@forevr.gg","welcome to the stream! i'm mads, also known as broxah, a 25-year-old gamer from denmark. i'm a professional league of legends player, always aiming to bring you positive vibes and great experiences here on the stream! -- business inquiries: broxah@forevr.gg",en
44,jumayumin,449781,573.0,1164.0,930.0,0.0,Oi!! Eu sou a Mayumi e eu streamo League of Legends e IRL! Talvez vc me veja em alguns clipes do youtube por ai ,hey!!i'm mayumi and i streamo league of legends and irl!maybe you see me in some youtube clips around,pt
45,solorenektononly,429116,829.0,2029.0,1349.0,0.0,LoL Streamer and YouTuber,lol streamer and youtuber,en
46,takeshi,378548,551.0,3870.0,1432.0,1.0,Analista do CBLOL / Former League Proplayer ,cblol / forere league proplayer analyst,pt
47,josedeodo,377530,5249.0,11451.0,8937.0,0.0,,,ht
48,godjj,366585,510.0,7534.0,4528.0,20.0,我是GodJJ，前LOL職業選手，現在是專職遊戲實況主。主要實況LOL和各種小遊戲。號稱最有原則的實況主：絕不S(頭)L(痛)、絕不偷看攻略、絕不開金手指。快點來加入我的鴨子大軍吧！別忘記周末晚上十點會有Ｊ群玩家哦，啾咪！商業合作邀約請洽鍇睿行銷，指名找GodJJ ➡ chris.lee@carry.live,"i am godjj, a former lol professional player, and is now a full -time game.the main live lol and various small games.the actual owner of the most principled principle: never s (head) l (pain), never peek at the strategy, and never open the golden finger.hurry up and join my duck army!don't forget that there will be j group players at 10 o'clock on the weekend, 啾 mi!please contact ji rui for business cooperation invitations to find out godjj ➡ chris.lee@carry.live",zh-TW
49,arquel,364442,600.0,1334.0,924.0,1.0," Na imię ma Krzysztof, tak dali mu rodzice 27 lat temu. Jest często uśmiechniętym chłopcem dzięki powszechnie znanemu syntetycznemu narkotykowi - Yerba Mate. Klika w League of Legends na górnej alei, nigdy nie wpasowuje się w mete. Potocznie znany jako syn truskawkowego barona.","krzysztof's name is, that's how his parents gave him 27 years ago.he is often a smiling boy thanks to the well -known synthetic drug - yerba mate.click in league of legends on the upper alley, never fits into the mete.colloquially known as the son of a strawberry baron.",pl
50,ayellol,359636,403.0,5417.0,1517.0,2.0,https://linktr.ee/ayellol Contato: contato@abstractgg.comAposte comigo na BCGAME e RECEBA 300% de BÔNUS no primeiro depósito: AYEL https://linktr.ee/ayellol (PRIMEIRO LINK),https://linktr.ee/ayellol contact: contato@abstractgg.comaposte with me at bcgame and receive 300% bonuses on the first deposit: ayel https://linktr.ee/ayellol (first link),pt
51,esacarry,348329,888.0,5787.0,2683.0,0.0,Stream de segunda a sexta 10:30h am. // contato profissional : esacarrycontato@gmail.com,stream from monday to friday 10: 30h am.// professional contact: esacarrycontato@gmail.com,pt
52,tano,347820,53.0,53.0,53.0,0.0,,,ht
53,challengersleague,340757,1679.0,17046.0,7959.0,0.0,"The LCS Challengers League is a 16 team, single round robin tournament hosted twice a year (Spring and Summer Split). It serves as the official Tier 2 North American League of Legends competition that supports talent development into the LCS. #LCS #NACL #PathToLCS","the lcs challengers league is a 16 team, single round robin tournament hosted twice a year (spring and summer split). it serves as the official tier 2 north american league of legends competition that supports talent development into the lcs. #lcs #nacl #pathtolcs",en
54,gragolandia1,335540,457.0,1324.0,688.0,0.0,GRAGOLANDIA ,gragolandia,en
55,butterflyouo,326313,212.0,799.0,511.0,0.0,"Hello guys! I am Butterfly , from Taiwan  ❤  任何工作邀約請至butterfu.u@gmail.com ♥️目前無經紀約","hello guys! i am butterfly, from taiwan ❤ any job invitational invitation to butterfu.u@gmail.com ♥ ️",zh-TW
56,kerios,323591,988.0,2273.0,1581.0,0.0,"¡BIENVENID@ A LA KATANGA SQUAD! ¡Aquí encontraras muchas risas y una comunidad fantástica a la que unirte, ponte comod@ y disfruta!","welcome to the katanga squad!here you will find many laughs and a fantastic community to join, put on comod@ and enjoy!",es
57,crystal_lol,318209,799.0,2663.0,1791.0,0.0,,,ht
58,wtf_winds123,317861,858.0,3579.0,2014.0,6.0,陳鵬年，喜歡打LOL的實況主，專長是英雄聯盟的打野位置。目前專攻日系手遊，想支持實況也可斗內歐富寶喔！（ 歐付寶會員編號:1356596）,"chen pengnian, who likes to play lol, is the league's wild position.at present, specializing in japanese mobile games, you can also fight in the fugbo!(member number of ou fubao: 1356596)",zh-TW
59,neckolol,317127,770.0,770.0,770.0,0.0,Que pasa guanacos,what happens guanacos,es
60,closer,302466,969.0,3378.0,1932.0,0.0,Professional League of Legends Jungler for 100Thieves,professional league of legends jungler for 100thieves,en
61,holyphoenix,300882,851.0,3520.0,1881.0,1.0,Profesyonel League of Legends oyuncusu. ,professional league of legends player.,tr
62,westdoor,299204,135.0,1060.0,610.0,2.0,我是西門夜說 前LOL職業選手,i am ximen ye said the former lol professional player,zh-TW
63,titanlol1,299191,1998.0,12136.0,4767.0,0.0,,,ht
64,nickdaboom,297462,713.0,968.0,820.0,0.0,Soy de cba arg me gusta el LOL y hacer IRL ♥,i'm from cba arg i like lol and make irl ♥,es
65,manutegaming,295167,344.0,2528.0,1233.0,1.0,"Tengo una frase en el LoL, juego Morde y eso","i have a phrase in the lol, biting game and that",es
66,phreakstream,291819,473.0,1593.0,932.0,0.0,I'm Phreak and I work on League of Legends,i'm phreak and i work on league of legends,en
67,dzukill,286311,828.0,3816.0,1707.0,0.0,,,ht
68,nisqyy,278990,797.0,7681.0,2718.0,0.0,MAD Nisqy,mad nisqy,en
69,riotgamesjp,277047,5342.0,15250.0,9914.0,0.0,Riot Games Japanの公式チャンネルへようこそ！,welcome to riot games japan's official channel!,ja
70,brokenblade,275814,1115.0,1645.0,1380.0,0.0,,,ht
71,shaunz,271675,602.0,11334.0,3940.0,8.0,"Salut c'est Shaunz ! Ancien joueur et coach LEC sur League of Legends, je suis maintenant un streamer spécialisé dans Teamfight Tactics et je suis également président de l'équipe AEGIS ! Rejoins-moi pour être un Papichulo !","hi it's shaunz!former player and coach lec on league of legends, i am now a streamer specializing in teamfight tactics and i am also president of the aegis team!join me to be a papichulo!",fr
72,creed,269480,526.0,1705.0,1018.0,0.0,Ben Vahit. Eski LoL TR 1. si LoL ve arada farklı oyunların yayınını yapıyorum,i'm vahit.old lol tr 1. si lol and i broadcast different games in the meantime,tr
73,rybsonlol_,262971,521.0,2824.0,1559.0,6.0,Czołowy grajek league of Legends w Polsce rybson@stormmedia.gg ,league of league of legends in poland ribson@stormedia.gg,pl
74,linustheafro,260163,581.0,837.0,709.0,0.0,Challenger ADC.Loves to teach and play at the same time.I also like to know and chat with new people.Feel free to ask anything.,challenger adc.loves to teach and play at the same time.i also like to know and chat with new people.feel free to ask anything.,en
75,elite500,258873,557.0,1394.0,880.0,0.0,,,ht
76,foggedftw2,258446,486.0,486.0,486.0,0.0,My right arm is a lot stronger than my left arm.,my right arm is a lot stronger than my left arm.,en
77,keshaeuw,254843,1166.0,3998.0,2172.0,0.0,"EUW Full AP Nunu Challenger player, I roll snowballs and win games.","euw full ap nunu challenger player, i roll snowballs and win games.",en
78,chap_gg,252673,845.0,9473.0,4373.0,0.0,Jungler ADC Challenger 4x Champion d’Europe sur League Of Legends 🏆,jungler adc challenger 4x champion d’europe sur league of legends 🏆,en
79,solarbacca,249953,1106.0,2728.0,1752.0,0.0,Best Gangplank NA. World soon ,best corridor after.world soon,nl
80,fabulousn,245579,758.0,1657.0,1348.0,0.0,merhaba ben fabulous top laner for NASR,"hello, i'm fabulous top lanener for nasr",tr
81,katth,243723,259.0,259.0,259.0,0.0,"¡Bienvenido/a a mi canal! ◕ ‿‿ ◕ ¡Aquí encontraras juegos varios, Just Chatting, Video reacciones, IRL y más! ♦ Me encanta interactuar con mi chat y hacer felices a los demás ¡Espero que te sientas bien aquí! ♥","welcome to my channel!◕ ‿‿ ◕ you will find various games, just chatting, video reactions, irl and more!♦ i love interacting with my chat and making others happy i hope you feel good here!♥",es
82,rangerlol1,236152,1042.0,3693.0,2249.0,0.0,,,ht
83,chaseshaco,233974,390.0,1388.0,988.0,0.0,Challenger Shaco main s6-s12. Clown Hashira. Business email : ChaseShaco@gmail.com,challenger shaco main s6-s12. clown hashira. business email : chaseshaco@gmail.com,en
84,lolpacifictw,229090,2960.0,19751.0,11376.0,0.0,,,ht
85,bianquinha182,226478,365.0,876.0,588.0,3.0,"Olá meu nome é Bianca, tenho 27 anos, jogo diversos jogos, mas gosto mais de League Of Legends (estranho eu sei), aqui tem de TUDO, falamos sobre TUDO e quero que seja um lugar para que você se sinta sempre bem e que possa te fazer sorrir um pouco que seja. ","hello my name is bianca, i'm 27 years old, i play several games, but i like league of legends more (strange i know), here has everything, we talk about everything and i want it to be a place for you to always feel good and thatit can make you smile a little.",pt
86,ipav999,225615,313.0,313.0,313.0,0.0,Life of MASTER league,life of master league,en
87,waolol1,223386,673.0,6176.0,3815.0,0.0,KC Wao,kc au,haw
88,zegabon,218981,669.0,743.0,706.0,0.0,"Merhaba gençler, ben Kerem! ","hello young people, i'm kerem!",tr
89,zed99_lol,218116,552.0,1392.0,883.0,0.0,"KR BEST ZED ZED99 , 율천고 최현우입니다!","kr best zed99, yulcheono choi hyun -woo!",ko
90,bobqinxd,214851,472.0,1373.0,803.0,0.0,Content Creator for Team Liquid | Season 3-13 Challenger | #1 Leblanc World ,content creator for team liquid | season 3-13 challenger | #1 leblanc world,en
91,sofikimmy,213754,1325.0,2116.0,1596.0,3.0,"Hola! me llamo Sofi, soy Chilena y tengo 21 años. Llevo 10 años jugando al LoL y puteo mucho :) 💙","hello!my name is sofi, i'm chilean and i'm 21 years old.i've been playing lol for 10 years and i fucking a lot :) 💙",es
92,beyou0728,213421,2684.0,3910.0,3120.0,0.0,종합게임 스트리머 :),comprehensive game streamer :),ko
93,pantsaredragon,211475,19.0,19.0,19.0,0.0,RANK 1 OF THE SERVER TARZANED AINT SHTI!,rank 1 of the server tarzaned aint shti!,en
94,stansfield,210877,743.0,2072.0,1127.0,0.0, Süper güçlerim var ,i have super powers,tr
95,primeleague,207557,1211.0,17716.0,7056.0,0.0,"Die Strauss Prime League ist die offizielle Liga für alle League of Legends-Begeisterte aus Deutschland, Österreich und der Schweiz. Folg uns für spannende Spieltage, mitreißende Spielzüge sowie einzigartige Erlebnisse - regional, kompetitiv, im und außerhalb des Spiels!","the strauss prime league is the official league for all league of legends enthusiasts from germany, austria and switzerland.follow us for exciting game days, rousing moves and unique experiences - regionally, competitive, in and outside the game!",de
96,rojankhzxr,205737,176.0,176.0,176.0,0.0,"People don't get it *YET*. Blockchain BULLISH. Algunos ya se dieron cuenta, otros todavía no. Espero que tu *AHÁ* moment sea conmigo!","people don't get it *yet *.blockchain bullish.some already realized, others still.i hope you * ahá * moment be with me!",es
97,nickitaylor,205658,425.0,691.0,509.0,0.0,"i game, sing, & do voices. ◕‿◕ Say hi! i talk to chat A LOT. Gen.G creator🐯, Red Bull Player⚡, & singer of Here Comes Vi & Worlds Collide for LoL.  📧business inquiries: nicki@nicki.gg","i game, sing, & do voices. ◕‿◕ say hi! i talk to chat a lot. gen.g creator🐯, red bull player⚡, & singer of here comes vi & worlds collide for lol.  📧business inquiries: nicki@nicki.gg",en
98,kxmi,202063,727.0,957.0,842.0,0.0,Me llaman el empresario. Tengo una aleta dorsal 🦈💼,they call me the businessman.i have a dorsal fin 🦈💼,es
99,yamatosdeath,201903,1256.0,2375.0,1658.0,0.0,new frog friendly stream :) welcome to this friendly stream ask any question u want to ask!!! smiley face! Love qiyana katarina kassadin league of legends and hot choccy milk and anime,new frog friendly stream :) welcome to this friendly stream ask any question u want to ask!!! smiley face! love qiyana katarina kassadin league of legends and hot choccy milk and anime,en
100,lordsemilol,200231,771.0,771.0,771.0,0.0,"Paraiba mais bonito, Main Rammus High Elo, Cursando Facul de Matemática, Otaku e Tiltador de  pó player na soloq.","paraiba most beautiful, main rammus high elo, attending mathematics faculty, otaku and player powder tiller in soloq.",pt
101,moaigr,199441,520.0,1253.0,767.0,7.0,lol,lol,en
102,4lanlol,199385,402.0,1131.0,645.0,3.0,"Meu nome é Alanderson Meireles mais conhecido como ""4LaN"", fui jogador profissional de League of Legends por 4 anos e consegui conquistar o CBLOL 2017 2º SPLIT no meu 1º ano de participação!Agora sigo minha carreira criando conteúdo de alta qualidade todos os dias a partir das 19h!","my name is alanderson meireles better known as ""4lan"", i was a professional player of league of legends for 4 years and was able to win cblol 2017 2nd split in my first year of participation! now i follow my career creating high quality content every dayfrom 19h!",pt
103,sixentv,198448,1340.0,3431.0,2239.0,0.0,,,ht
104,professorakali,194149,494.0,965.0,718.0,0.0,,,ht
105,lolgeranimo,190331,21.0,21.0,21.0,0.0,Just an old man that enjoys playing video games,just an old man that enjoys playing video games,en
106,irelking3,190128,1148.0,2820.0,2072.0,0.0,Aileri,family,tr
107,dududuelista,188840,132.0,1252.0,649.0,0.0,"Oi, me chamo Eduardo mas pode me chamar de Dudu, faço lives de lol e calistenia as vezes","hi, my name is eduardo but you can call me dudu, i make lol and calistenia lives sometimes",pt
108,viper,188836,306.0,1192.0,766.0,0.0,"Full-Time Gamer. Best Riven. 5 times ex rank 1 NA . Watch, Learn, Climb! :D","full-time gamer. best riven. 5 times ex rank 1 na . watch, learn, climb! :d",en
109,zwag,187640,554.0,1204.0,838.0,0.0,Xerath,xerath,vi
110,luxx,187509,576.0,576.0,576.0,0.0,Challenger Seraphine APC player & lover of cute cozy comfy indie games ( ๑ ❛ ڡ ❛ ๑ )❤♫♪♫ type !spotify for my playlists!,challenger seraphine apc player & lover of cute cozy comfy indie games ( ๑ ❛ ڡ ❛ ๑ )❤♫♪♫ type !spotify for my playlists!,en
111,dekar173,187159,307.0,436.0,371.0,0.0,Hi I'm Dekar! AKA The Micheal Jordans Of Rengar.,hi i'm dekar! aka the micheal jordans of rengar.,en
112,lynxcerezlol,184346,915.0,2259.0,1435.0,0.0,,,ht
113,getflakked,183549,2307.0,3555.0,2931.0,0.0,,,ht
114,trackingthepros,183123,79.0,79.0,79.0,0.0,Follow the pros as they play in solo queue,follow the pros as they play in solo queue,en
115,lol_selfmade,182572,729.0,729.0,729.0,0.0,Selfmade plays League of Legends,selfmade plays league of legends,en
116,dioudlol,181920,1201.0,1201.0,1201.0,0.0,Support Player,support player,en
117,courtesy,181637,376.0,1444.0,920.0,0.0,drowning in denial ,drowning in denial,en
118,corejj,180409,1201.0,1201.0,1201.0,0.0,Support for Team Liquid Honda,support for team liquid honda,en
119,randombrucetv,178293,465.0,7680.0,1338.0,4.0,Sympatyczny gamoń pełen cringu umili ci dzień pięknymi zagraniami w league of legends głupimi porównaniami oraz dobrą zabawą #reklama #ad,a nice gamon full of craing will make your day beautiful in league of legends with stupid comparisons and good fun #reklama #ad,pl
120,saltyteemo,177815,89.0,89.0,89.0,0.0,,,ht
121,imsofresh,177624,643.0,2909.0,1409.0,1.0,"Ancien joueur Pro / coach sur LoL - Maintenant sur TFT, top 10 EUW sur le Set 1 & 2 , 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5 et peak Rank 1 - Représentant Solary sur TFT","former pro / coach player on lol - now on tft, top 10 euw on set 1 & 2, 3, 3.5, 4, 4.5, 5.5, 6, 6.5, 7, 7.5 and peak rank 1 - representative solary on tft",fr
122,ilku1023,172802,1745.0,4892.0,3844.0,0.0,DK 원딜 Deft 데프트입니다,this is dk one deal deft deft,ko
123,fooya,172471,345.0,515.0,430.0,1.0,"Partnered since 2016 playing a variety of video games mostly FPS titles like Rainbow Six Siege and games like League Of Legends, Warzone and occasional story games. Welcome to the FOO CREW!!!! Enjoy your stay and be sure to follow me on Twitter, YouTube, and Instagram.","partnered since 2016 playing a variety of video games mostly fps titles like rainbow six siege and games like league of legends, warzone and occasional story games. welcome to the foo crew!!!! enjoy your stay and be sure to follow me on twitter, youtube, and instagram.",en
124,sovitia,170607,110.0,110.0,110.0,0.0,"Hi, i'm Sovi! Welcome to my stream! ^-^ Join me on my gaming adventures!","hi, i'm sovi! welcome to my stream! ^-^ join me on my gaming adventures!",en
125,scrubnoob,169723,473.0,1280.0,696.0,0.0,Now full time streaming. Your support is greatly appreciated as it allows me to continue doing what i wanna do ^_^,now full time streaming. your support is greatly appreciated as it allows me to continue doing what i wanna do ^_^,en
126,esportmaniacos,169564,400.0,5464.0,2388.0,2.0,"Esportmaníacos es un canal donde cubrimos la actualidad de los deportes electrónicos, principalmente League of Legends.","esportmaniac is a channel where we cover the actuality of electronic sports, mainly league of legends.",es
127,pzzzang3,168541,911.0,1489.0,1152.0,0.0,야스오 장인 프제짱 KR Yasuo PzZzang,yasuo craftsmen prz -chan kr yasuo pzzzang,ko
128,biofrostlol,166505,496.0,1165.0,725.0,0.0,professional support player,professional support player,en
129,traytonlol,165274,102.0,6796.0,2980.0,0.0,"Joueur support challenger, je stream majoritairement de la Soloq. Je suis aussi caster chez OTP en compagnie ""d'amis"" tel que Chips Noi ou Tweekz ","challenger support player, i mainly stream soloq.i am also caster at otp with ""friends"" such as chips noi or tweekz",fr
130,terenas,164727,555.0,785.0,664.0,0.0,"Mi chiamo Lapo Raspanti, sono un informatore di League of Legends, un appassionato di caffè e da poco ho cominciato a narrare le storie del mondo di Runeterra. Cerco di creare un ambiente positivo nella community di League of Legends dopo averne fatto parte per 12 anni.","my name is lapo raspanti, i am a league of legends informant, a coffee enthusiast and recently i started narrating the stories of the world of runeterra.i try to create a positive environment in the league of legends community after being part of it for 12 years.",it
131,ffaka,158988,621.0,1054.0,849.0,0.0, 22 🌙,22 🌙,en
